index,NDA,BR,ID1,ID2,ID3,ID4
76,2,0.002293856,-13,-11,0,0
76,3,0.006252694,-3,4,24,0
76,3,0.003977573,-1,2,24,0
76,3,0.002731986,-15,16,24,0
76,3,0.001325127,-13,14,24,0
76,3,0.001287219,-11,12,24,0
76,4,0.01230906,-3,-3,4,4
76,4,0.002619468,-15,-15,16,16
79,2,5.300554e-06,-13,-13,0,0
79,2,4.770365e-06,-15,-13,0,0
79,2,2.928977e-06,-15,-15,0,0
79,2,4.666319e-07,-15,-11,0,0
79,2,4.514563e-08,-11,-11,0,0
79,2,3.203557e-08,-13,-11,0,0
79,3,0.3421036,-3,4,24,0
79,3,0.3237472,-1,2,24,0
79,3,0.1169541,-15,16,24,0
79,3,0.1080403,-11,12,24,0
79,3,0.1074942,-13,14,24,0
79,4,0.00164719,-3,-3,4,4
81,2,0.3915848,-13,-13,0,0
81,2,0.3521711,-15,-13,0,0
81,2,0.2160908,-15,-15,0,0
81,2,0.03445125,-15,-11,0,0
81,2,0.003335227,-11,-11,0,0
81,2,0.002366788,-13,-11,0,0
83,2,0.3917632,-13,-13,0,0
83,2,0.3521362,-15,-13,0,0
83,2,0.2159495,-15,-15,0,0
83,2,0.03444647,-15,-11,0,0
83,2,0.003336731,-11,-11,0,0
83,2,0.002367779,-13,-11,0,0
86,2,0.0002661341,-13,-13,0,0
86,2,0.0002394819,-15,-13,0,0
86,2,0.0001470284,-15,-15,0,0
86,2,2.342667e-05,-15,-11,0,0
86,2,2.266714e-06,-11,-11,0,0
86,2,1.608505e-06,-13,-11,0,0
86,3,0.3354879,-3,4,24,0
86,3,0.3271398,-1,2,24,0
86,3,0.116157,-15,16,24,0
86,3,0.1099968,-11,12,24,0
86,3,0.1084087,-13,14,24,0
86,4,0.002129787,-3,-3,4,4
88,2,0.3669074,-13,-13,0,0
88,2,0.3301422,-15,-13,0,0
88,2,0.2026875,-15,-15,0,0
88,2,0.03229607,-15,-11,0,0
88,2,0.003125008,-11,-11,0,0
88,2,0.002217562,-13,-11,0,0
88,3,0.02663987,-3,4,24,0
88,3,0.01423389,-15,16,24,0
88,3,0.009009411,-1,2,24,0
88,3,0.003029988,-11,12,24,0
88,3,0.0030207,-13,14,24,0
88,4,0.005513806,-3,-3,4,4
88,4,0.00117655,-15,-15,16,16
95,2,0.0002432971,-13,-13,0,0
95,2,0.0002189378,-15,-13,0,0
95,2,0.0001344163,-15,-15,0,0
95,2,2.14166e-05,-15,-11,0,0
95,2,2.072203e-06,-11,-11,0,0
95,2,1.470487e-06,-13,-11,0,0
95,3,0.3366385,-3,4,24,0
95,3,0.3258646,-1,2,24,0
95,3,0.1168816,-15,16,24,0
95,3,0.1098307,-11,12,24,0
95,3,0.1080807,-13,14,24,0
95,4,0.002082339,-3,-3,4,4
96,2,0.309512,-13,-13,0,0
96,2,0.2785183,-15,-13,0,0
96,2,0.1709993,-15,-15,0,0
96,2,0.02724505,-15,-11,0,0
96,2,0.002636065,-11,-11,0,0
96,2,0.001870613,-13,-11,0,0
96,3,0.09561843,-3,4,24,0
96,3,0.05257399,-15,16,24,0
96,3,0.02839885,-1,2,24,0
96,3,0.009525584,-13,14,24,0
96,3,0.009509153,-11,12,24,0
96,4,0.01118674,-3,-3,4,4
96,4,0.002405871,-15,-15,16,16
98,2,7.371093e-05,-13,-13,0,0
98,2,6.633059e-05,-15,-13,0,0
