,HSMmass,Amass,Neuhiggs,Hpmass,Hppmass,VevTriplet,LHT2,Kappa,rYx11,rYx12,rYx13,rYx21,rYx22,rYx23,rYx31,rYx32,rYx33,TotalDecaySMh,TotalDecayNH,TotalDecayA,TotalDecayHp,TotalDecayHpp
568,124.49096352747856,198.81216017012616,198.81216017012616,166.17825769790673,125.31620657964358,9.515e-08,-0.7873,8.789e-08,2.167083923032838e-05,-1.2908458234757467e-05,-4.927523480750902e-05,-1.2908458234757467e-05,0.00023481748871763384,0.00015754754003103791,-4.927523480750902e-05,0.00015754754003103791,0.00017462302593342,0.005701132,0.001237722,0.000170892,0.0004839215,7.024873e-07
569,124.49096352176056,156.15451930671668,156.15451930003198,127.15811770469598,89.18598487245886,0.00126,-0.5429999999999999,0.000718,1.6364923434648773e-09,-9.747934928866452e-10,-3.721062374551177e-09,-9.747934928866452e-10,1.773244765990703e-08,1.1897340026947026e-08,-3.721062374551177e-09,1.1897340026947026e-08,1.3186810252035644e-08,0.005700934,0.0001114015,8.978933e-05,0.0003045436,3.083734e-15
570,124.49096352747856,316.68982134982554,316.68982134982554,232.8326047755864,90.16429862525642,3.3889999999999994e-08,-3.0459,7.942999999999999e-08,6.0843327021709815e-05,-3.624195340918186e-05,-0.00013834578317894612,-3.624195340918186e-05,0.0006592766022863046,0.00044233250026418585,-0.00013834578317894612,0.00044233250026418585,0.0004902738541624346,0.005701791,0.1145268,0.07404642,5.156234,3.983015e-06
571,124.49096352747856,190.34845327217445,190.34845327217445,148.2803670858324,87.986367484453,9.257999999999999e-08,-0.9416,7.838999999999999e-08,2.227241685856281e-05,-1.3266794135203858e-05,-5.064310425507112e-05,-1.3266794135203858e-05,0.00024133596944785987,0.00016192102434600626,-5.064310425507112e-05,0.00016192102434600626,0.00017947052190067956,0.005700415,0.001410338,0.0005764264,0.003071707,5.20812e-07
572,124.49096352746707,224.3681539561302,224.36815395608286,177.45089915147722,112.41252025313982,7.833e-05,-1.2461,9.215e-05,2.632427362141893e-08,-1.5680324282358902e-08,-5.985623122602428e-08,-1.5680324282358902e-08,2.852404449314804e-07,1.9137812375786106e-07,-5.985623122602428e-08,1.9137812375786106e-07,2.121202721507074e-07,0.005700617,0.00301808,0.001138212,0.005406602,9.357339e-13
573,124.49096352747856,167.46244572891086,167.46244572891086,127.09755949469849,65.29861047149792,7.37e-08,-0.7859,4.83e-08,2.797802378243888e-05,-1.6665397571739118e-05,-6.36165344902915e-05,-1.6665397571739118e-05,0.00030315989215037804,0.000203400928547534,-6.36165344902915e-05,0.000203400928547534,0.00022544614542150488,0.005700415,0.0007138455,0.0004470609,0.003041081,6.09576e-07
574,124.49096352747856,217.29558835329811,217.29558835329811,170.77009140304986,105.39200879481331,7.57e-07,-1.1934,8.353e-07,2.7238842176562025e-06,-1.6225096446990391e-06,-6.193578060679634e-06,-1.6225096446990391e-06,2.9515038377123986e-05,1.9802705989370213e-05,-6.193578060679634e-06,1.9802705989370213e-05,2.1948984039055363e-05,0.005701771,0.002700443,0.001014977,0.005433543,9.332632e-09
575,124.49096352747105,313.46850565929503,313.46850565904515,229.66694916806216,85.03711566210809,0.0001495,-3.0085,0.00034330000000000005,1.3792510720841106e-08,-8.215650843058012e-09,-3.136146215340792e-08,-8.215650843058012e-09,1.4945072944135695e-07,1.0027189587928598e-07,-3.136146215340792e-08,1.0027189587928598e-07,1.111396716893974e-07,0.005701786,0.1107252,0.07142714,5.248136,1.930213e-13
576,124.49096350266217,291.2733853083954,291.27338508669965,222.55133992508166,119.23930925297093,0.0046689999999999995,-2.334,0.009257,4.4163211667717835e-10,-2.6306271172353244e-10,-1.0041847487544407e-09,-2.6306271172353244e-10,4.7853681840828565e-09,3.210676469041177e-09,-1.0041847487544407e-09,3.210676469041177e-09,3.558659438330459e-09,0.005700279,0.03589349,0.0125341,1.154359,5.385387e-13
577,124.49096352747223,152.99025942596006,152.99025942594548,119.51880763804304,71.85729802336554,5.3e-05,-0.6029,2.899e-05,3.8905289674825385e-08,-2.3174335868625902e-08,-8.846299230065063e-08,-2.3174335868625902e-08,4.215638500279785e-07,2.828424232821369e-07,-8.846299230065063e-08,2.828424232821369e-07,3.1349775316160213e-07,0.005700991,0.0002106593,0.0001746464,0.0008223613,1.297413e-12
